Input,Output
今天又来送什么,放眼镜你自己说说看你这个月见她多少次了
五六回,六回
六回,你还什么时候见过他
大概,我不跟你扯了
我不跟你扯了,你就说
你就说,你誓师大会跟谁见
你誓师大会跟谁见,你跟谁打招呼了
你跟谁打招呼了,跟方圆打招呼是吧
跟方圆打招呼是吧,他们是孩子家长是吧
我是约方圆通知他一下,你应该跟谁打招呼
我作为家长我还不能去吗,你现在成家长了
你现在成家长了,这么些年你管过英子学习吗
这么些年你管过英子学习吗,你管过吗
你管过吗,还家长了
还家长了,在这个学校里我才是英子的家长
在这个学校里我才是英子的家长,知道吗
你尴尬是不是,你胡说八道什么
我在操场边站着好吗,你还一个人站操场边上
你还一个人站操场边上,还不够显眼是吧
还不够显眼是吧,还嫌不够丢人现眼是吧
同时又是一个不甚完美的家庭,乔卫东
乔卫东,你是不是这偷鸡摸狗的事干多了
你是不是这偷鸡摸狗的事干多了,干嘛总是这么鬼鬼祟祟
干嘛总是这么鬼鬼祟祟,偷偷摸摸的习性
我为什么偷偷摸摸你不知道吗,我知道
我是尊重你,你现在的生活我们从来都不打扰
你现在的生活我们从来都不打扰,那是你的生活对吧
那是你的生活对吧,也请你不要再来打扰我们母女俩了
也请你不要再来打扰我们母女俩了,行吗
又不敢跟你讲,你怎么知道的
到时候借我玩两天,你是不了解我妈
你是不了解我妈,他就是个狠人
他就是个狠人,贼专制
刚才超市差点一巴掌呼死,你别急
你别急,这不是你们都还在吗
这不是你们都还在吗,等你们一走
等你们一走,我那宝贝望远镜就要被没收了
我那宝贝望远镜就要被没收了,我要是管他要的话
我要是管他要的话,他就说高考一完物归原主
我说你妈这样,我现在挺心疼我爸的
我现在挺心疼我爸的,你说他这三天两头的给我送的东西
你说他这三天两头的给我送的东西,每次哪一回不是被我妈给怼过去了
每次哪一回不是被我妈给怼过去了,夹着尾巴就逃走了
原来天下的妈妈都一个样,同为天下沦落人
原来是有人送你回来,大晚上都不回家住宾馆
大晚上都不回家住宾馆,还说为了孩子上个学近，谁信
这官当的,杨杨呢，睡了吗
杨杨呢，睡了吗,好久没见他了
好久没见他了,对
对,你微信上说他又闯祸了
你微信上说他又闯祸了,怎么回事
老师都已经解决了,你还是要提醒他
你还是要提醒他,以后少惹事
以后少惹事,没超标吧
超不超标的是咱自己花钱什么好担心的,英语还不错
英语还不错,这物理怎么考这么差
这物理怎么考这么差,究竟什么原因呢
纪局长你能不能不在家里打官腔,我在跟你讲问题
我在跟你讲问题,怎么成打官腔了
两个月以前的了,给我看看
现在才想起来关心,真没看清楚
真没看清楚,两个多月过去了
两个多月过去了,他的成绩有没有在提高
还看不出什么,有的时候我真的挺想关心杨杨的
有的时候我真的挺想关心杨杨的,可一是我工作忙
可一是我工作忙,二是怎么关心他，我
二是怎么关心他，我,我真的不知道怎么入手
你真的想关心,真的
要不然我把你加进去,等等
等等,这个群里有多少人
五六十人,那么多
孩子就那么多,别加了
别加了,你在群里就行了
你在群里就行了,万一杨杨同学的家长要加我
万一杨杨同学的家长要加我,我不大方便
我不大方便,我就不加了
明天杨杨誓师大会你假请好了吗,一早就请好了
一早就请好了,你放心
你放心,这事我能忘了
试试去,谢谢舅舅
注意安全,知道了
知道了,今天见到小时候的一个朋友
今天见到小时候的一个朋友,也不是小时候，中学的时候
也不是小时候，中学的时候,当时我们两个家住同一个院子
你怎么跑过来了,听姥姥说
听姥姥说,今天你搬家
今天你搬家,我就过来了
我就过来了,这么大事你怎么也没告诉我
这么大事你怎么也没告诉我,连舅舅也不知道
还兴师动众的,吃饭了
吃饭了,我刚想叫你 看你正专心做题
我刚想叫你 看你正专心做题,您今天没放中药啊
您今天没放中药啊,怎么样
怎么样,没放中药的好喝
没放中药的好喝,挺挑的
挺挑的,刚才你们李老师
刚才你们李老师,在群里发了好多誓师大会的照片
在群里发了好多誓师大会的照片,有我们家的吗
有我们家的吗,有 我给
有 我给,你找找
你找找,没我爸
没我爸,没有吧 我看
没有吧 我看,没拍上
没拍上,他那天不是一直跟咱在一块的
他那天不是一直跟咱在一块的,看着不像一家人呗 那拍照片的
看着不像一家人呗 那拍照片的,哪知道谁是谁一家
哪知道谁是谁一家,我给你端菜去啊
我给你端菜去啊,好的
好的,站那干嘛
站那干嘛,怎么了
怎么了,妈
妈, 您辛苦了
 您辛苦了,你说什么
你说什么,我说您辛苦了
我说您辛苦了,洗个碗有什么辛苦的
洗个碗有什么辛苦的,不每天都在洗嘛
不每天都在洗嘛,昨天是我不对
昨天是我不对,我不应该跟您急的
我不应该跟您急的,妈妈没生气
妈妈没生气,不应该非让你写什么分
不应该非让你写什么分,东西拆了吗
东西拆了吗,什么呀
什么呀,还没看呢
还没看呢,妈 这不是当季特别款吗
妈 这不是当季特别款吗,我上次在商场看到了很贵的
我上次在商场看到了很贵的,是
是,我在 APP上看便宜快一半了
我在 APP上看便宜快一半了,一咬牙买两件
一咬牙买两件,咱俩一人一件
咱俩一人一件,到时候一起去运动好不好
到时候一起去运动好不好, 好
 好,这是你的
这是你的,我这件太花了吧
我这件太花了吧,不花这很衬肤色的
不花这很衬肤色的,我看你这件
我看你这件,喜欢吗
喜欢吗,喜欢
喜欢,可时髦了 是吧
可时髦了 是吧,英子
英子,晚上要不要一起去看个电影
晚上要不要一起去看个电影,咱俩好久没有出去了
咱俩好久没有出去了,您不是说高三学习紧 要最大化压缩娱乐时间吗
您不是说高三学习紧 要最大化压缩娱乐时间吗,这不是离正式开学还有几天
这不是离正式开学还有几天,先得给你抓空 放松
先得给你抓空 放松,是吧
是吧,行不行
行不行,我去看看票
我去看看票,碟中谍6怎么样
碟中谍6怎么样,我想想 看碟中谍5的时候
我想想 看碟中谍5的时候,还是咱俩一起去看的首映
还是咱俩一起去看的首映,那时候你刚上高中
那时候你刚上高中,一下两年多了太快了
一下两年多了太快了,这个时间还行
这个时间还行,要不看这场 怎么了
要不看这场 怎么了,不想去看
不想去看,没有 特别想去看
没有 特别想去看,Tom cruise不是您男神嘛
Tom cruise不是您男神嘛,咱干脆晚上出去吃饭
咱干脆晚上出去吃饭,吃完饭以后看完电影回来时间正好完美
吃完饭以后看完电影回来时间正好完美,好勒
好勒,好
好,买票了
回来了 你还真有心 买了束花回来,专门买的
专门买的,咱们一家三口好不容易团聚 庆祝庆祝
咱们一家三口好不容易团聚 庆祝庆祝,现在不是提倡什么生活仪式感
现在不是提倡什么生活仪式感,年轻的东西 我搞得不大懂
年轻的东西 我搞得不大懂,本来让他包一束团圆的
本来让他包一束团圆的,包了一包苹果
包了一包苹果,早知道这样我到菜市场买去了
你先去换衣服,好久没吃你做的饭了
那一会多吃点,苹果 哎 杨杨呢
苹果 哎 杨杨呢,杨杨回来了么
等他回来我们就开饭,买了一包苹果
买了一包苹果,挺有意思的
挺有意思的,后面还有好多特别精彩
后面还有好多特别精彩,您看完了再走
您看完了再走,您不是最喜欢阿汤哥吗
您不是最喜欢阿汤哥吗,多浪费
多浪费,你要是告诉我你已经看过一遍了
你要是告诉我你已经看过一遍了,何必跑这来浪费时间
何必跑这来浪费时间,您不是说让我出来放松
您不是说让我出来放松,我是让你放松
我是让你放松,可一个电影看两遍 闲的
可一个电影看两遍 闲的,这有意义吗
这有意义吗,这怎么没意义了
这怎么没意义了,让你高兴不是意义吗
让你高兴不是意义吗,我是要你高兴
我是要你高兴,我也是为了你高兴
我也是为了你高兴,我不用
给 拿着吃,谢谢表哥
自己家里放松点,表哥
表哥,你今天叫我过来是什么事
我妈怎么说,我们俩是有1/4血缘关系的兄弟
老家是不是有,真的没有
没事 告诉我,不是我没有
怎么可能咱们这个年龄段谁都有个欣赏的人,表哥你
表哥你,有吗
你看这成绩厉害吧,还行
还行,表哥你们认识几年了
算是青梅竹马了吧,这么久了
这么久了,那是挺厉害的
你在这坐着等我,好
你一穿个里边背心干嘛,妈妈让我穿的
妈妈让我穿的,妈妈说得护着前胸和后背
不要在那出现好吗,表哥你们北京人这么抗冻
怎么起这么早,我5点就起了
你昨晚睡得还好吗,挺好的
听到没有,没事的
没事的,小姨我平常也是这个点起
小姨给你去买,我其实都行
咱们一会就要走了,好
好,谢谢小姨
一听你在玩游戏,妈 你起来了
妈 你起来了,你
你,我是不是起晚了
我是不是起晚了,没有
没有,我5点多就起了
我5点多就起了,你起那么早干什么
你起那么早干什么,这不是早上起来头脑清楚
这不是早上起来头脑清楚,我就跑了个步再做个听力
我就跑了个步再做个听力,我赶紧做饭去
我赶紧做饭去,不用
不用,我都已经给您做好了
我都已经给您做好了,您趁热吃了
您趁热吃了,我先去上学了
我先去上学了,英子
英子,妈
妈,还有什么事吗
还有什么事吗,没什么事
没什么事,那部蚁人 你还没看过吧
那部蚁人 你还没看过吧,没看
没看,下周要是有时间
下周要是有时间,妈妈请你看一下
妈妈请你看一下,行
行,都听您的
都听您的,好
好,以后别给妈妈做饭了啊
以后别给妈妈做饭了啊,妈妈怪心疼的
妈妈怪心疼的,好
好,那我走了
那我走了,看看现在成什么样子了
看看现在成什么样子了,放学不回家
放学不回家,开车开到半夜
开车开到半夜,昨天还给咱们拉脸子发脾气
昨天还给咱们拉脸子发脾气,刚才摔门是吧
刚才摔门是吧,他还想让他们给他赔礼道歉
他还想让他们给他赔礼道歉,是不是
是不是,我就不明白了
我就不明白了,他小时候跟咱们挺好的
他小时候跟咱们挺好的,现在怎么变得这么混
现在怎么变得这么混,难道我们做错了吗
咱们说不定从一开始就错,我们哪错了
没有权利说他,我承认
我承认,但是我就是不明白他为什么不理解
但是我就是不明白他为什么不理解,我不是个官迷
我不是个官迷,年轻的时候我就是想先把业立起来
年轻的时候我就是想先把业立起来,踏踏实实的为老百姓做点事
踏踏实实的为老百姓做点事,可是到了这个岁数回过头来想一想
可是到了这个岁数回过头来想一想,业是立起来了
业是立起来了,可是自己儿子差点都不认我了
可是自己儿子差点都不认我了,有时候我就想我努力了大半辈子
有时候我就想我努力了大半辈子,到底是为什么
到底是为什么,如果可以重新选的话
如果可以重新选的话,我现在肯定选个事业单位熬到退休
我现在肯定选个事业单位熬到退休,我就在他身边
我就在他身边,我哪也不去
最后还是你儿子替你尽的孝,我真是对不起我妈
都过去了,这些都不行啊
这里头是我买的食品,当我跟你抢车
当我跟你抢车,那不是最后 这都进
那不是最后 这都进,我闺女的肚子里 我不得给他把关
我闺女的肚子里 我不得给他把关,不行就是不行
我能害我自己的闺女吗,谁知道
你能不能给我留点面子,脸都不要了
脸都不要了,还要什么面子
还要什么面子,怎么样
怎么样,今天考试考的
今天考试考的,还行
还行,自己感觉还可以
自己感觉还可以,那行
那行,那就等成绩
那就等成绩,来妈妈给你看个东西
来妈妈给你看个东西,是什么东西
是什么东西,我给你做了一个时间计划表
我给你做了一个时间计划表,先看这个
先看这个,今天不能算了对吧
今天不能算了对吧,从明天开始算到你高考还剩下278天
从明天开始算到你高考还剩下278天,合到每科上只有46天
合到每科上只有46天,也就是一个半月
也就是一个半月,一个半月要干什么你知道吗
一个半月要干什么你知道吗,要把高一到高三所有的知识点都要巩固到滚瓜烂熟
要把高一到高三所有的知识点都要巩固到滚瓜烂熟,时间还是很紧迫的
时间还是很紧迫的,还有这个 反正是一点都不能松懈
还有这个 反正是一点都不能松懈,这是你们学校系统里的成绩动态表
这是你们学校系统里的成绩动态表,你看英语 你比较长项了
你看英语 你比较长项了,基本上一条直线
基本上一条直线,妈妈不是特别着急
妈妈不是特别着急,看这语文 就是问题了
看这语文 就是问题了,看看最高分91分
看看最高分91分,最低分82分
最低分82分,差了9分
差了9分,咱们这学期的任务就是把它拉高拉平
咱们这学期的任务就是把它拉高拉平,你等我周末有时间再来细说成不成
你等我周末有时间再来细说成不成,我这明年还要考英语跟理综
我这明年还要考英语跟理综,对那行
对那行,你先去 一会我给你看一下 英子
你先去 一会我给你看一下 英子,我刚才送卷子做了吗
我刚才送卷子做了吗,做了
做了,好那一会你拿给我
好那一会你拿给我,我还给你准备了一套
我还给你准备了一套,稍微难一点我带你做
稍微难一点我带你做,英子
英子,又怎么呢
又怎么呢,你爸给你买的零食在那
你爸给你买的零食在那,我爸也太好了
我爸也太好了,好什么 一半都是垃圾食品
好什么 一半都是垃圾食品,我都挑出去扔垃圾桶里去了
我都挑出去扔垃圾桶里去了,妈 你还不如不如和我说呢
妈 你还不如不如和我说呢,大晚上的 别吃零食了 抓紧时间  
大晚上的 别吃零食了 抓紧时间  ,回来了
回来了,不是说我去接你吗
就不用接了,今天头还晕吗
今天没再晕了,这什么东西这么大一箱子
你今天给刘铮打电话了,你说你 知道家里没人
你说你 知道家里没人,还点那么多外卖
还点那么多外卖,让人家送外卖的晾在外边那么长时间多不好
杨杨今天说了要晚回来一会了,这小子干嘛去了
明天还有一天,分班
分班,分什么班
还有7个平行班,不就是快慢班
不就是快慢班,杨杨现在这个成绩不会考到慢班去吧
杨杨现在这个成绩不会考到慢班去吧,慢班师资力量不行
是波动的,是这样啊  点这么多
真有感觉了,妈我回来了
妈我回来了,你怎么回来了
你怎么回来了,不是说好晚上跟你爸吃饭，给忘了？
不是说好晚上跟你爸吃饭，给忘了？,没有 今天
没有 今天,分班考成绩出来了
分班考成绩出来了,然后我进快班了
然后我进快班了,回来告诉你一声
回来告诉你一声,顺便上个厕所
顺便上个厕所,我其实已经知道了
我其实已经知道了,我给你们李老师打过电话
我给你们李老师打过电话,他说你这次考了
他说你这次考了,第二名还可以
第二名还可以,是 这回第一名 被林磊儿给抢走了
是 这回第一名 被林磊儿给抢走了,我也没想到他那么厉害
我也没想到他那么厉害,我知道了
我知道了,不过 高三以后每天都要考试
不过 高三以后每天都要考试,没事
没事,下回好好考就行了
下回好好考就行了,你没生气吗
你没生气吗,有什么好生气的
有什么好生气的,这次让人超过了
这次让人超过了,下回咱夺回来
下回咱夺回来,这还怕 咱下回更努力一点
这还怕 咱下回更努力一点,好
好,我上厕所去了
我上厕所去了,快去
快去,上厕所还背着个包不嫌重
上厕所还背着个包不嫌重,快去
快去,妈你怎么翻我书包
妈你怎么翻我书包,我可没想翻你书包
我可没想翻你书包,我本来是想把你卷子找出来帮你先改着
我本来是想把你卷子找出来帮你先改着,卷子不在里边
卷子不在里边,这里面什么
这里面什么,同学送的生日礼物
同学送的生日礼物,都高三了
都高三了,还玩玩具
还玩玩具,咱哪有这时间
咱哪有这时间,这不是同学送的吗
这不是同学送的吗,再说了
再说了,好不容易考完了
好不容易考完了,您不让我松快一下
您不让我松快一下,高兴一天
高兴一天,都考第二了
都考第二了,还有什么可高兴的
还有什么可高兴的,刚才我都没好意思说
刚才我都没好意思说,你这次考成这样
你这次考成这样,下次 下下次呢 高考怎么办
下次 下下次呢 高考怎么办,我跟你讲
我跟你讲,高考可不是百米冲刺
高考可不是百米冲刺,那是马拉松
那是马拉松,有的你努力的 要依我说 高考以前这些玩具
有的你努力的 要依我说 高考以前这些玩具,就妈妈帮你保存
就妈妈帮你保存,行吗
行吗,跟你爸去吃饭吧
跟你爸去吃饭吧,早去早回
早去早回,也要弄的太晚
也要弄的太晚,好
扎了两个小丸子头,我的妈
我的妈,快吃饭吧
快吃饭吧,还有 小孟阿姨跟这儿 您就别对我太好了
知道了,表哥
怎么了,你准备好了吗
准备什么啊,你这次考的不理想
你这次考的不理想,小姨小姨夫肯定会说你吧
我没有压力,你倒是没什么压力
你倒是没什么压力,我还挺有压力
有压力,来北京之后
来北京之后,我就发现北京的卷子是比老家的简单点
我就发现北京的卷子是比老家的简单点,但我这分数考的还没在老家的时候高
你在老家多少分,我看了一下卷子
我看了一下卷子,这问题就出现在英语上面
这问题就出现在英语上面,我的单词还得好好背
别劈我 劈他,妈 我回来了
妈 我回来了,回来了
回来了,你怎么回来的
你怎么回来的,你爸送你的
你爸送你的,没有
没有,他喝了点酒
他喝了点酒,郑叔叔送我回来的
郑叔叔送我回来的,对
对,以后他要喝酒了
以后他要喝酒了,千万不要让他开车
千万不要让他开车,好
好,英子
英子,这吃火锅了
这吃火锅了,这味儿特大啊
这味儿特大啊,我一会就洗澡把衣服给洗了
我一会就洗澡把衣服给洗了,不用 洗衣服
不用 洗衣服,你把脏衣服脱了 搁在脏衣桶里
你把脏衣服脱了 搁在脏衣桶里,我一块洗 
我一块洗 ,没事
没事,我自己洗就行
我自己洗就行,我还以为您生气
我还以为您生气,为什么
为什么,我就这么凶神恶煞
我就这么凶神恶煞,不就吃火锅嘛
不就吃火锅嘛,你跟你爸又不经常一起吃饭
你跟你爸又不经常一起吃饭,一会我弄点凉茶给你去火
一会我弄点凉茶给你去火,谢谢妈
谢谢妈,你最好
你最好,你就是我的女神
你就是我的女神,瞎说 就知道拍马屁
瞎说 就知道拍马屁,不过这一个月就别吃了
不过这一个月就别吃了,好不好
好不好,到底还是上火
到底还是上火,是不是
是不是,好吧
好吧,我去洗澡了
我去洗澡了,妈妈有话还跟你说
妈妈有话还跟你说,来 到那去
来 到那去,你坐
你坐,咋了 妈
咋了 妈,是这样
是这样,你看开学第一次考试你考得还是挺好的
你看开学第一次考试你考得还是挺好的,妈妈其实挺开心的
妈妈其实挺开心的,没过几天你就要生日了
没过几天你就要生日了,妈妈本来想等你生日再把礼物给你
妈妈本来想等你生日再把礼物给你,也不差这几天了
也不差这几天了,护眼仪
护眼仪,学习累的时候可以按摩按摩休息一下
学习累的时候可以按摩按摩休息一下,喜欢吗
喜欢吗,喜欢
喜欢,哪有不喜欢
哪有不喜欢,您送我啥我都喜欢
您送我啥我都喜欢,谢谢妈妈
谢谢妈妈,你看今天妈妈把你乐高给没收了
你看今天妈妈把你乐高给没收了,其实妈妈
其实妈妈,心里也挺过意不去的
心里也挺过意不去的,妈妈也没办法
妈妈也没办法,这不高三了
这不高三了,时间太紧了
时间太紧了,我知道 这不是说你的错
我知道 这不是说你的错,生日礼物同学送的也没法挑的
生日礼物同学送的也没法挑的,所以妈妈才出下策
所以妈妈才出下策,说帮你先保存一下
说帮你先保存一下,但你放心
但你放心,你一旦考上了大学了
你一旦考上了大学了,妈妈就还给你
妈妈就还给你,到时候出新的妈妈还给你买
到时候出新的妈妈还给你买,好不好
好不好,Happy birthday.
回去背吧 我明儿还有大事要干的,那你休息吧
拿它干吗,对了表哥
我真的是烦死你了,我就说一下
我就说一下,你别发那么大火
你别发那么大火,拜拜 表哥
闺女,来了
英子 开门,爸 快进来
来,谢谢老爸 但我这正吃着呢
吃这个吃这个,你刚上来的时候没碰到我妈吧
你刚上来的时候没碰到我妈吧,他刚下楼买菜
化险为夷,这要让她碰到了
这要让她碰到了,估计连我都得唠叨一顿
快吃,相册
相册,我给你准备好了
我闺女靠谱,给您 你说你这过来
给您 你说你这过来,取趟相册真是不容易
取趟相册真是不容易,是不是小梦阿姨要催你了
吃,你要在这吃啊
不在这儿吃在哪儿吃,那我妈要回来 咋办
吃吧,好吧
多吃点,好
好,行
行,你可真行
你可真行,都
都,学会跟你爸理应外合了是吧
学会跟你爸理应外合了是吧,好玩吗
好玩吗,他就回来拿个相册
他就回来拿个相册,你发那么大火干嘛
你发那么大火干嘛,他是拿一相册吗
他是拿一相册吗,他这是来捣乱
他这是来捣乱,什么乱啊
什么乱啊,我知道
我知道,我只要一见他你都不开心对不对
我只要一见他你都不开心对不对,你就跟我发火
你就跟我发火,我都不能见他
我都不能见他,我什么时候不让你去见他了
我什么时候不让你去见他了,你哪次去我不让你去了
你哪次去我不让你去了,你说我哪次
你说我哪次,你现在马上要高考了
你现在马上要高考了,你必须把精力都放在学习上
你必须把精力都放在学习上,咱们能不能离这不靠谱的人远一点
咱们能不能离这不靠谱的人远一点,你不是还是不想要我见他吗
你不是还是不想要我见他吗,不是
不是,你爸这个人他有好多的不良习性
你爸这个人他有好多的不良习性,我不想他把你教坏了
我不想他把你教坏了,我身上是不是有他一半不靠谱的基因
我身上是不是有他一半不靠谱的基因,你是不是看我也不顺眼
你是不是看我也不顺眼,我是不是还得把它剔除干净的剔骨还亲
我是不是还得把它剔除干净的剔骨还亲,这样你才满意
这样你才满意,对不对
对不对,你满意吗
你满意吗,我什么时候对你不满意过
我什么时候对你不满意过,妈妈什么时候对你不满意过
妈妈什么时候对你不满意过,我不到处都跟人说你是我的骄傲吗
我不到处都跟人说你是我的骄傲吗,我是不是这么说的
我是不是这么说的,你还生上气了
你还生上气了,生妈妈气了
生妈妈气了,还说没有
还说没有,没有
没有,就是生气了
就是生气了,我没有
我没有,那你那么大声干什么
那你那么大声干什么,我说我没有了
我说我没有了,你还要我怎么样
你还要我怎么样,我不说话了行不行
我不说话了行不行,我不说了
我不说了,还成我的错了
还成我的错了,你现在是不是就想跟你爸在一起
你现在是不是就想跟你爸在一起,不想跟你妈在一起了
不想跟你妈在一起了,你怎么还哭上了
你怎么还哭上了,别哭了
别哭了,妈我当然知道您对我最好了
妈我当然知道您对我最好了,您跟我爸比起来
您跟我爸比起来,我肯定更爱你的
我肯定更爱你的,真的吗
真的吗,真的
真的,我发誓
我发誓,别哭了
我有事跟你说,准没好事 拜拜
反正你那乐高我就拼了,你敢 什么事快说
给我点,你要自杀威胁你妈搬家
你要自杀威胁你妈搬家,这缺德的事儿我可干不了
是不是吃不死,当然吃不死你有没有点常识
我也着急,安神汤
安神汤,了解一下 你妈和我妈的独门秘方
求求你,你可真能磨叽
你可真能磨叽,你中午跟我回家拿去
你中午跟我回家拿去,但是你一定得让他按剂量 吃多了可不行
但是你一定得让他按剂量 吃多了可不行,我上课去了
我上课去了,拜拜
好吗,英子 回来了
英子 回来了,妈
妈,你干什么
你干什么,快进来
快进来,快点来帮帮我
快点来帮帮我,我拼半天了
我拼半天了,不知道怎么回事
不知道怎么回事,怎么也拼不上
怎么也拼不上,我怎么都对不上
我怎么都对不上,愣在那干什么
愣在那干什么,快来帮帮我
快来帮帮我,妈我错了
妈我错了,爸爸都跟我说了
爸爸都跟我说了,我诚恳的向您认错
我诚恳的向您认错,我不应该收爸爸的礼
我不应该收爸爸的礼,我也不应该让方一凡帮我藏着
我也不应该让方一凡帮我藏着,你要生气你就训我都接受
你要生气你就训我都接受,但是我声明我真的没有想要现在玩这个的
但是我声明我真的没有想要现在玩这个的,我怕您不高兴
我怕您不高兴,也怕爸爸不开心
也怕爸爸不开心,来
来,英子
英子,下次要再遇见这样的事
下次要再遇见这样的事,你得直接告诉妈妈
你得直接告诉妈妈,妈妈会理解的
妈妈会理解的,我觉得这玩具其实还挺好的
我觉得这玩具其实还挺好的,寓教于乐的
寓教于乐的,我知道你快生日了
我知道你快生日了,你爸爸那个人我还不了解
你爸爸那个人我还不了解,投其所好
投其所好,知道你喜欢这个肯定会给你买
知道你喜欢这个肯定会给你买,那你不生气我
那你不生气我,我那么爱生气啊
