Input,Output
是给妈自己喝的,你怎么了
你怎么了,不舒服吗
不舒服吗,最近睡的不好
最近睡的不好,睡得不好 老是失眠
睡得不好 老是失眠,可能是压力太大了
可能是压力太大了,又怨压力大
又怨压力大,你说什么
你说什么,没什么
没什么,我学习去了
我学习去了,先别学了
先别学了,把饭吃了再说
把饭吃了再说,你压力大
你压力大,我压力才大
我压力才大,alexander懂不懂
alexander懂不懂,开门
开门,daddy
daddy,你怎么来了
你怎么来了,你在家呢
你在家呢,那个什么，不是
那个什么，不是,宋倩
宋倩,你把门打开一下
你把门打开一下,我给孩子拿着点东西
我给孩子拿着点东西,咱们说好了一个月见一次的
咱们说好了一个月见一次的,别坏了规矩好不好
别坏了规矩好不好,天天来打扰，你先回去把
天天来打扰，你先回去把,我跟孩子约好了孩子等着
我跟孩子约好了孩子等着,你把门打开
你把门打开,他那做卷子
他那做卷子,我这也有学生都挺忙的
我这也有学生都挺忙的,别打扰了
别打扰了,先回去
先回去,怎么上来的
怎么上来的,你不让我上来
你不让我上来,人家物业经理亲自把我送上来的
人家物业经理亲自把我送上来的,有本事让他送进门
有本事让他送进门,你一趟趟跑
你一趟趟跑,你到底要干嘛
你到底要干嘛,英子不是喜欢天文望远镜吗
英子不是喜欢天文望远镜吗,今儿货到了
今儿货到了,我给孩子把货送过来
我给孩子把货送过来,高三哪有时间玩这个
高三哪有时间玩这个,拿走
拿走,这是孩子的兴趣爱好
这是孩子的兴趣爱好,我这当爸爸的不得支持吗
我这当爸爸的不得支持吗,那么多年都没见你支持
那么多年都没见你支持,到了高三了支持什么
到了高三了支持什么,不行
不行,我支持还分高几吗
我支持还分高几吗,我就放下就走了
我就放下就走了,不知道他现在很忙
不知道他现在很忙,不耽误孩子事
不耽误孩子事,你就让我进去好不好
你就让我进去好不好,不行
不行,我不耽误事
我不耽误事,英子
英子,爸 你咋来了 
爸 你咋来了 ,爸给你买个望远镜
爸给你买个望远镜,你喜欢的那种
你喜欢的那种,你看看
你看看,对对对
对对对,这就是我想的型号
这就是我想的型号,谢谢
谢谢,要不您还是拿回去
要不您还是拿回去,我最近忙着学习
我最近忙着学习,我妈肯定不让我玩
我妈肯定不让我玩,最近怎么那么忙
最近怎么那么忙,这不是快分班考了吗
这不是快分班考了吗,我妈整天盯着我做题
我妈整天盯着我做题,不是 英子
不是 英子,你跟爸说说你大学想考哪个学校
你跟爸说说你大学想考哪个学校,大学 这不还有一年吗
大学 这不还有一年吗,爸
爸,你怎么突然这么关心我学习了
你怎么突然这么关心我学习了,这话让你说的
这话让你说的,你现在不是高三了吗
你现在不是高三了吗,你妈天天，你看，这还带学生
你妈天天，你看，这还带学生,我怕忙不过来
我怕忙不过来,准备过来帮帮他
准备过来帮帮他,您不来帮他忙了
您不来帮他忙了,手感不错吧
手感不错吧,这个可是我妈为了我的高三 给我装的隔音墙
这个可是我妈为了我的高三 给我装的隔音墙,据说这隔音量
据说这隔音量,能够达到45分贝
就手感不错,我骗你干嘛
我骗你干嘛,这就跟明星录唱片的地方
这就跟明星录唱片的地方,就录音棚一个效果
就录音棚一个效果,你里边说什么外面都听不到
不是，你不是说听不见吗,那也没让你有吼的大哥
那也没让你有吼的大哥,把门关上
把门关上,你誓师大会要跟谁见
你誓师大会要跟谁见,你要跟谁见啊
你要跟谁见啊,不孩子学校活动吗
不孩子学校活动吗,怎么了
怎么了,我作为爸爸我还不能见孩子吗
我作为爸爸我还不能见孩子吗,这扯什么，我什么时候不让你见孩子了
这扯什么，我什么时候不让你见孩子了,你跟我扯是吧
你跟我扯是吧,好好我给你算
好好我给你算,咱以前是不是说好一个月见一次的
咱以前是不是说好一个月见一次的,你这个月是不是犯病了
你这个月是不是犯病了,送铅笔盒一回
送铅笔盒一回,送书包一次
送书包一次,送充电宝一回
送充电宝一回,送蓝牙耳机一回
送蓝牙耳机一回,今天又来送什么
今天又来送什么,放眼镜你自己说说看你这个月见她多少次了
放眼镜你自己说说看你这个月见她多少次了,五六回
五六回,六回
六回,你还什么时候见过他
你还什么时候见过他,6回
6回,这是我估的一个数
这是我估的一个数,大概
大概,我不跟你扯了
我不跟你扯了,你就说
你就说,你誓师大会跟谁见
你誓师大会跟谁见,你跟谁打招呼了
你跟谁打招呼了,跟方圆打招呼是吧
跟方圆打招呼是吧,他们是孩子家长是吧
他们是孩子家长是吧,我那是打招呼吗
我那是打招呼吗,我是约方圆通知他一下
我是约方圆通知他一下,你应该跟谁打招呼
你应该跟谁打招呼,我和英子说了，怎么着
我和英子说了，怎么着,我作为家长我还不能去吗
我作为家长我还不能去吗,你现在成家长了
你现在成家长了,这么些年你管过英子学习吗
这么些年你管过英子学习吗,你管过吗
你管过吗,还家长了
还家长了,在这个学校里我才是英子的家长
在这个学校里我才是英子的家长,知道吗
知道吗,我算知道了 宋倩
我算知道了 宋倩,春风那是你的老单位
春风那是你的老单位,没坐上
没坐上,你是怕你那些老同事看见我了
你是怕你那些老同事看见我了,你尴尬是不是
你尴尬是不是,你胡说八道什么
你胡说八道什么,我明天这样
我明天这样,我离你远远的
我离你远远的,我在操场边站着好吗
我在操场边站着好吗,你还一个人站操场边上
你还一个人站操场边上,还不够显眼是吧
还不够显眼是吧,还嫌不够丢人现眼是吧
还嫌不够丢人现眼是吧,不是你，不让我，他，行，那行，行
不是你，不让我，他，行，那行，行,我离你既远又近若离
我离你既远又近若离,让人觉得我们既是一个家庭
让人觉得我们既是一个家庭,同时又是一个不甚完美的家庭
同时又是一个不甚完美的家庭,乔卫东
乔卫东,你是不是这偷鸡摸狗的事干多了
你是不是这偷鸡摸狗的事干多了,干嘛总是这么鬼鬼祟祟
干嘛总是这么鬼鬼祟祟,偷偷摸摸的习性
偷偷摸摸的习性,我为什么偷偷摸摸你不知道吗
我为什么偷偷摸摸你不知道吗,我知道
我知道,那不是因为我怕你吗
那不是因为我怕你吗,当然了
当然了,现在也不是怕
现在也不是怕,我是尊重你
我是尊重你,你现在的生活我们从来都不打扰
你现在的生活我们从来都不打扰,那是你的生活对吧
那是你的生活对吧,也请你不要再来打扰我们母女俩了
也请你不要再来打扰我们母女俩了,行吗
行吗,宋倩我不是想打扰你
宋倩我不是想打扰你,我承认这一个月我来的次数比较多
我承认这一个月我来的次数比较多,但是原因很简单
但是原因很简单,我觉得英子现在是努力有余
我觉得英子现在是努力有余,放松不够
放松不够,孩子经常说压力大
孩子经常说压力大,又不敢跟你讲
又不敢跟你讲,你怎么知道的
你怎么知道的,血缘、血缘的感应
血缘、血缘的感应,我作为孩子的父亲
我作为孩子的父亲,我能不能让孩子放松一下
我能不能让孩子放松一下,你是好心
你是好心,我知道你做事总是想尽善尽美
我知道你做事总是想尽善尽美,但是在孩子的教育上要张弛有度
但是在孩子的教育上要张弛有度,不能把孩子逼得太紧
不能把孩子逼得太紧,否则适得其反
到时候借我玩两天,你是不了解我妈
你是不了解我妈,他就是个狠人
他就是个狠人,贼专制
刚才超市差点一巴掌呼死,你别急
你别急,这不是你们都还在吗
这不是你们都还在吗,等你们一走
等你们一走,我那宝贝望远镜就要被没收了
我那宝贝望远镜就要被没收了,我要是管他要的话
我要是管他要的话,他就说高考一完物归原主
我说你妈这样,我现在挺心疼我爸的
我现在挺心疼我爸的,你说他这三天两头的给我送的东西
你说他这三天两头的给我送的东西,每次哪一回不是被我妈给怼过去了
每次哪一回不是被我妈给怼过去了,夹着尾巴就逃走了
原来天下的妈妈都一个样,同为天下沦落人
同为天下沦落人,方圆你别弄了你过来
丧眉耷眼的，饭也不吃，急赤白脸地到别人家里，出什么事了，说,我这憋了一天了
怎么了,方一凡一直跟着我
方一凡一直跟着我,我也甩不掉
我也甩不掉,没法跟你说
真把你打坏了,打坏了那些都不叫事儿
好好好，不开玩笑了，你说,我跟你说正经的
你说怎么了,他们高三年级组的组长
他们高三年级组的组长,新上来的李老师
新上来的李老师,也是他的班主任
也是他的班主任,今天跟我说
说怎么了,让我们考虑让方一凡高二蹲班
儿子呢,洗澡去了
洗澡去了,方圆
方圆,这蹲班的事到底怎么说呢
这可能跟升学率是挂着钩的,这都要蹲班了
这都要蹲班了,还升什么学哪来的升学率
你还不如就蹲班,这还没正式开学
这还没正式开学,学校怎么知道这方一凡就当不了这个分子呢
分母都不让你当直接让你蹲班,这奇怪了
这奇怪了,怎么方一凡这一眨眼之间就成了一个坏分子了呢
就这道理,我不想让方一凡当坏分子
学习哪天他反应一快的成绩就上去了,我知道了是方一凡跟你一样的
我知道了是方一凡跟你一样的,都是盲目乐观型的
都是盲目乐观型的,你要说这个乐观真没什么好乐观的
你要说这个乐观真没什么好乐观的,唯一乐观的就是这磊儿来了说不定能带带方一凡，是吧
把磊儿给拉沟里去了,你刚批评我不要觉得太悲观
你刚批评我不要觉得太悲观,你乐观，现在怎么突然你悲观
你乐观，现在怎么突然你悲观,我乐观起来呢
你帮我拿一下,我今天不是刚买了吗
我今天不是刚买了吗,你自己去拿一下
行行行，我给他拿去,你说就这样的
你说就这样的,我能乐观的了
原来是有人送你回来,大晚上都不回家住宾馆
大晚上都不回家住宾馆,还说为了孩子上个学近，谁信
这官当的,杨杨呢，睡了吗
杨杨呢，睡了吗,好久没见他了
好久没见他了,对
对,你微信上说他又闯祸了
你微信上说他又闯祸了,怎么回事
老师都已经解决了,你还是要提醒他
你还是要提醒他,以后少惹事
以后少惹事,没超标吧
超不超标的是咱自己花钱什么好担心的,英语还不错
英语还不错,这物理怎么考这么差
这物理怎么考这么差,究竟什么原因呢
纪局长你能不能不在家里打官腔,我在跟你讲问题
我在跟你讲问题,怎么成打官腔了
两个月以前的了,给我看看
现在才想起来关心,真没看清楚
真没看清楚,两个多月过去了
两个多月过去了,他的成绩有没有在提高
还看不出什么,有的时候我真的挺想关心杨杨的
有的时候我真的挺想关心杨杨的,可一是我工作忙
可一是我工作忙,二是怎么关心他，我
二是怎么关心他，我,我真的不知道怎么入手
你真的想关心,真的
要不然我把你加进去,等等
等等,这个群里有多少人
五六十人,那么多
孩子就那么多,别加了
别加了,你在群里就行了
你在群里就行了,万一杨杨同学的家长要加我
万一杨杨同学的家长要加我,我不大方便
我不大方便,我就不加了
明天杨杨誓师大会你假请好了吗,一早就请好了
一早就请好了,你放心
你放心,这事我能忘了
试试去,谢谢舅舅
注意安全,知道了
知道了,今天见到小时候的一个朋友
今天见到小时候的一个朋友,也不是小时候，中学的时候
也不是小时候，中学的时候,当时我们两个家住同一个院子
我看到了,你们不是发小吗
你们不是发小吗,发小不是从小一块混的吗
后来长大了就没联系了,为什么不联系
他没考上复读一年,我明白了，那个谁是那个谁的老婆
我明白了，那个谁是那个谁的老婆,他是她老公，他们是一家的
他是她老公，他们是一家的,我说呢
没听明白你什么意思,你笨死了 就是那个季 你这个季
你笨死了 就是那个季 你这个季,是那个季杨杨的爸爸
是那个季杨杨的爸爸,他们不是都姓季嘛
我明白了,你是说他
你认识那女的是跟季胜利是夫妻俩,对
对,他们是一家的
懂了不容易,方圆不是我说你，每次到关键时候你就掉链子了
方圆不是我说你，每次到关键时候你就掉链子了,你说你好不容易遇到一个像样的朋友
你说你好不容易遇到一个像样的朋友,你主动点
你主动点,妈妈给你说点事
没事吧,妈妈不跟你吵
妈妈不跟你吵,也不跟你闹
也不跟你闹,妈妈就问你到底怎么回事
妈妈就问你到底怎么回事,一年不到的时间成绩下滑成这样
一年不到的时间成绩下滑成这样,怎么就突然不想学了
怎么就突然不想学了,对学习不感兴趣
对学习不感兴趣,还是老师讲的不好
还是老师讲的不好,还是有其他的原因
还是有其他的原因,总得有个原因
是那帮人进步的太快了,你告诉妈妈你这样的状态你怎么参加高考
你告诉妈妈你这样的状态你怎么参加高考,别说高考了
别说高考了,你知道你这成绩你连高中毕业你都毕业不了
你知道你这成绩你连高中毕业你都毕业不了,你知道吗
你知道吗,妈妈为你这个事情今天跑了一天
妈妈为你这个事情今天跑了一天,本来开学之前你们老师找我谈话
本来开学之前你们老师找我谈话,让你蹲班
让你蹲班,凡凡你知道妈妈今天为你的事情跑了一天
凡凡你知道妈妈今天为你的事情跑了一天,本来开学之前你们老师找我谈话
本来开学之前你们老师找我谈话,让你蹲班
让你蹲班,我一开始不同意
我一开始不同意,后来我同意了
后来我同意了,我连你的这些补习班我都给你找好了
我真的 补习班我不愿意上了,不要激动
不要激动,你现在不上补习班
你现在不上补习班,今天你们李老师又跟我说不蹲班了
今天你们李老师又跟我说不蹲班了,跟其他同学一样正常参加高考
跟其他同学一样正常参加高考,但是凡凡你知道不蹲班意味着什么吗
但是凡凡你知道不蹲班意味着什么吗,意味着你得把之前落下的成绩全补上
意味着你得把之前落下的成绩全补上,你不光得补上
你不光得补上,你还得比别人学的还要好
你还得比别人学的还要好,你才有可能能考上好的大学
你才有可能能考上好的大学,可是以你现在这种吊儿郎当的态度
可是以你现在这种吊儿郎当的态度,你行吗
你行吗,实在不行的话咱们还是蹲班
而且我也不想这给你和我爸丢脸,你真这么想
绝不蹲班,那你得拿出态度来
那你得拿出态度来,你也得拿出实际行动来
你也得拿出实际行动来,手机是不能再玩了
手机是不能再玩了,游戏不能再玩了
游戏不能再玩了,电影也不能再看了
电影也不能再看了,你要不想让人瞧不起你
你要不想让人瞧不起你,是不是得把所有的精力都放在学习上
咱就复读一年,你再读一年这何必 凡凡你自己算算这个账
你再读一年这何必 凡凡你自己算算这个账,你现在能努力，拼一下，就拼9个月
你现在能努力，拼一下，就拼9个月,你需要把9个月的煎熬变成18个月吗
你需要把9个月的煎熬变成18个月吗,高考是你人生最关键的一场战役
高考是你人生最关键的一场战役,这场战役打赢了你一生受益 打不赢
这场战役打赢了你一生受益 打不赢,你终生遗憾
我的人生刚开始怎么就终生遗憾了呢,凡凡妈妈跟你说实话
凡凡妈妈跟你说实话,我们是一个很普通的家庭
我们是一个很普通的家庭,爸爸妈妈没有任何背景
爸爸妈妈没有任何背景,我们也没有任何关系
我们也没有任何关系,我们就指望你通过高考鲤鱼跃龙门了
我们就指望你通过高考鲤鱼跃龙门了,龙门你要跃过去
龙门你要跃过去,你会改变你一生
你会改变你一生,爸爸妈妈能做什么
爸爸妈妈能做什么,我们做的这些是为什么
我们做的这些是为什么,我们不是为我们自己
我们不是为我们自己,我们就是为了你给你提供一个好的条件
我们就是为了你给你提供一个好的条件,让你跨过门槛
让你跨过门槛,将来你有一个好的学历
将来你有一个好的学历,你终生受益
您觉得学历重要还是真本事重要,真本事重要
真本事重要,但是你先拿你的真本事给妈妈对付的学历
但是你先拿你的真本事给妈妈对付的学历,你只要考上大学
你只要考上大学,妈妈保证你做什么妈妈绝对不干涉
妈妈保证你做什么妈妈绝对不干涉,只要不是违法乱纪的事情
只要不是违法乱纪的事情,但是之前你先考上了大学
但是之前你先考上了大学,你给妈妈吃个定心丸 算妈妈求你了好不好
起来 一块练会,烦死了
烦什么,蹲班的事
怎么了,不又不蹲了吗
不又不蹲了吗,一会儿蹲一会儿不蹲的
鱼还没喂呢,李萌给我发个信息
李萌给我发个信息,一凡妈妈 看到您今天很焦急
一凡妈妈 看到您今天很焦急,我也很愧疚
我也很愧疚,放心
放心,我们一起努力让一凡追赶上来
我们一起努力让一凡追赶上来,还给我发一个学霸的共同点
还给我发一个学霸的共同点,你听听
你听听,一家庭充满爱的滋养
这咱有 ,二
二,热衷的不是学习
热衷的不是学习,而是思考
也有,三爱学习更爱生活
这个有一半,10相信比成绩重要的东西还有很多
这个 他太相信了,你说方一凡基本都有
你说方一凡基本都有,为什么成绩还这么差
为什么成绩还这么差,他怎么就不能成为一个学霸呢
他怎么就不能成为一个学霸呢,人家都行
人家都行,他就不行
我瞅瞅,一天到晚不给我省心
一天到晚不给我省心,烦得我我一脑门子官司
干嘛还烦你一脑门子官司,不是 她太善变了
不是 她太善变了,一会说蹲一会说不蹲
一会说蹲一会说不蹲,昨天说蹲今天说不蹲
昨天说蹲今天说不蹲,我是担心他们学校想把方一凡这样的孩子给放弃了
昨天为什么事担心,因为要方一凡蹲班
你今天为什么事担心,因为不让他蹲班
这不是担心即菩提吗,屁话 我能不担心吗
屁话 我能不担心吗,他成绩不好
他成绩不好,他成绩好烦个屁
你有没有觉得气顺一点,我觉得你好幼稚
是吧 你看,完了 起晚了
完了 起晚了,飞机要赶不上了
赶得上 怎么会赶不上 几点了,都赖你 晚上喝什么红酒
都赖你 晚上喝什么红酒,快快
你怎么跑过来了,听姥姥说
听姥姥说,今天你搬家
今天你搬家,我就过来了
我就过来了,这么大事你怎么也没告诉我
这么大事你怎么也没告诉我,连舅舅也不知道
还兴师动众的,吃饭了
吃饭了,我刚想叫你 看你正专心做题
我刚想叫你 看你正专心做题,您今天没放中药啊
您今天没放中药啊,怎么样
怎么样,没放中药的好喝
没放中药的好喝,挺挑的
挺挑的,刚才你们李老师
刚才你们李老师,在群里发了好多誓师大会的照片
在群里发了好多誓师大会的照片,有我们家的吗
有我们家的吗,有 我给
有 我给,你找找
你找找,没我爸
没我爸,没有吧 我看
没有吧 我看,没拍上
没拍上,他那天不是一直跟咱在一块的
他那天不是一直跟咱在一块的,看着不像一家人呗 那拍照片的
看着不像一家人呗 那拍照片的,哪知道谁是谁一家
哪知道谁是谁一家,我给你端菜去啊
我给你端菜去啊,好的
好的,站那干嘛
站那干嘛,怎么了
怎么了,妈
妈, 您辛苦了
 您辛苦了,你说什么
你说什么,我说您辛苦了
我说您辛苦了,洗个碗有什么辛苦的
洗个碗有什么辛苦的,不每天都在洗嘛
不每天都在洗嘛,昨天是我不对
昨天是我不对,我不应该跟您急的
我不应该跟您急的,妈妈没生气
妈妈没生气,不应该非让你写什么分
不应该非让你写什么分,东西拆了吗
东西拆了吗,什么呀
什么呀,还没看呢
还没看呢,妈 这不是当季特别款吗
妈 这不是当季特别款吗,我上次在商场看到了很贵的
我上次在商场看到了很贵的,是
是,我在 APP上看便宜快一半了
我在 APP上看便宜快一半了,一咬牙买两件
一咬牙买两件,咱俩一人一件
咱俩一人一件,到时候一起去运动好不好
到时候一起去运动好不好, 好
 好,这是你的
这是你的,我这件太花了吧
我这件太花了吧,不花这很衬肤色的
不花这很衬肤色的,我看你这件
我看你这件,喜欢吗
喜欢吗,喜欢
喜欢,可时髦了 是吧
可时髦了 是吧,英子
英子,晚上要不要一起去看个电影
晚上要不要一起去看个电影,咱俩好久没有出去了
咱俩好久没有出去了,您不是说高三学习紧 要最大化压缩娱乐时间吗
您不是说高三学习紧 要最大化压缩娱乐时间吗,这不是离正式开学还有几天
这不是离正式开学还有几天,先得给你抓空 放松
先得给你抓空 放松,是吧
是吧,行不行
行不行,我去看看票
我去看看票,碟中谍6怎么样
碟中谍6怎么样,我想想 看碟中谍5的时候
我想想 看碟中谍5的时候,还是咱俩一起去看的首映
还是咱俩一起去看的首映,那时候你刚上高中
那时候你刚上高中,一下两年多了太快了
一下两年多了太快了,这个时间还行
这个时间还行,要不看这场 怎么了
要不看这场 怎么了,不想去看
不想去看,没有 特别想去看
没有 特别想去看,Tom cruise不是您男神嘛
Tom cruise不是您男神嘛,咱干脆晚上出去吃饭
咱干脆晚上出去吃饭,吃完饭以后看完电影回来时间正好完美
吃完饭以后看完电影回来时间正好完美,好勒
好勒,好
好,买票了
回来了 你还真有心 买了束花回来,专门买的
专门买的,咱们一家三口好不容易团聚 庆祝庆祝
咱们一家三口好不容易团聚 庆祝庆祝,现在不是提倡什么生活仪式感
现在不是提倡什么生活仪式感,年轻的东西 我搞得不大懂
年轻的东西 我搞得不大懂,本来让他包一束团圆的
本来让他包一束团圆的,包了一包苹果
包了一包苹果,早知道这样我到菜市场买去了
你先去换衣服,好久没吃你做的饭了
那一会多吃点,苹果 哎 杨杨呢
苹果 哎 杨杨呢,杨杨回来了么
等他回来我们就开饭,买了一包苹果
买了一包苹果,挺有意思的
挺有意思的,后面还有好多特别精彩
后面还有好多特别精彩,您看完了再走
您看完了再走,您不是最喜欢阿汤哥吗
您不是最喜欢阿汤哥吗,多浪费
多浪费,你要是告诉我你已经看过一遍了
你要是告诉我你已经看过一遍了,何必跑这来浪费时间
何必跑这来浪费时间,您不是说让我出来放松
您不是说让我出来放松,我是让你放松
我是让你放松,可一个电影看两遍 闲的
可一个电影看两遍 闲的,这有意义吗
这有意义吗,这怎么没意义了
这怎么没意义了,让你高兴不是意义吗
让你高兴不是意义吗,我是要你高兴
我是要你高兴,我也是为了你高兴
我也是为了你高兴,我不用
我不用,你的卷子叠的乱乱七八糟的
你的卷子叠的乱乱七八糟的,哪像个学生的样子
哪像个学生的样子,我跟你说磊儿刚来好多情况不了解
我跟你说磊儿刚来好多情况不了解,在家不怕有爸爸妈妈 在学校
在家不怕有爸爸妈妈 在学校,你就要多带他
应该他带我,我不是说你成绩
我不是说你成绩,我是说磊儿是县城来的
我是说磊儿是县城来的,对北京不了解
对北京不了解,我怕他在学校闹什么笑话
我怕他在学校闹什么笑话,你们同学到时候笑他
你们同学到时候笑他,你明白吗
我才知道怎么带,方一凡你给我听清楚了
方一凡你给我听清楚了,他不是你的敌人
他不是你的敌人,你不要跟我开这种玩笑
你不要跟我开这种玩笑,他是你的兄弟
他是你的兄弟,他跟你有1/4血缘关系
他跟你有1/4血缘关系,听见没有
听见没有,你把这话给我重复一遍
这是什么意思,你们是有1/4血缘关系的兄弟
我们是兄弟,你要照顾好他
你要照顾好他,你不需要那么清楚的了解他
你不需要那么清楚的了解他,但是你要带他清楚的了解学校听明白没有
但是你要带他清楚的了解学校听明白没有,赶紧洗澡
赶紧洗澡,不许玩手机
给 拿着吃,谢谢表哥
自己家里放松点,表哥
表哥,你今天叫我过来是什么事
我妈怎么说,我们俩是有1/4血缘关系的兄弟
老家是不是有,真的没有
没事 告诉我,不是我没有
怎么可能咱们这个年龄段谁都有个欣赏的人,表哥你
表哥你,有吗
你看这成绩厉害吧,还行
还行,表哥你们认识几年了
算是青梅竹马了吧,这么久了
这么久了,那是挺厉害的
你在这坐着等我,好
你一穿个里边背心干嘛,妈妈让我穿的
妈妈让我穿的,妈妈说得护着前胸和后背
不要在那出现好吗,表哥你们北京人这么抗冻
是你太耐热了,都起来了
都起来了,怎么起这么早
怎么起这么早,我5点就起了
我5点就起了,你昨晚睡得还好吗
你昨晚睡得还好吗,挺好的
挺好的,还习惯吗
还习惯吗,你不能这么早就起来
你不能这么早就起来,你现在首要任务是身体 得保证身体
你现在首要任务是身体 得保证身体,你这个成绩只要正常发挥
你这个成绩只要正常发挥,哪个学校都得抢着要你
哪个学校都得抢着要你,所以你不能生病
所以你不能生病,听到没有
听到没有,没事的
没事的,小姨我平常也是这个点起
小姨我平常也是这个点起,你听小姨的话
你听小姨的话,你早餐想吃点什么
你早餐想吃点什么,小姨给你去买
小姨给你去买,我其实都行
我其实都行,我买回来你挑 你抓紧点
我买回来你挑 你抓紧点,咱们一会就要走了
咱们一会就要走了,好
好,谢谢小姨
一听你在玩游戏,妈 你起来了
妈 你起来了,你
你,我是不是起晚了
我是不是起晚了,没有
没有,我5点多就起了
我5点多就起了,你起那么早干什么
你起那么早干什么,这不是早上起来头脑清楚
这不是早上起来头脑清楚,我就跑了个步再做个听力
我就跑了个步再做个听力,我赶紧做饭去
我赶紧做饭去,不用
不用,我都已经给您做好了
我都已经给您做好了,您趁热吃了
您趁热吃了,我先去上学了
我先去上学了,英子
英子,妈
妈,还有什么事吗
还有什么事吗,没什么事
没什么事,那部蚁人 你还没看过吧
那部蚁人 你还没看过吧,没看
没看,下周要是有时间
下周要是有时间,妈妈请你看一下
妈妈请你看一下,行
行,都听您的
都听您的,好
好,以后别给妈妈做饭了啊
以后别给妈妈做饭了啊,妈妈怪心疼的
妈妈怪心疼的,好
好,那我走了
那我走了,看看现在成什么样子了
看看现在成什么样子了,放学不回家
放学不回家,开车开到半夜
开车开到半夜,昨天还给咱们拉脸子发脾气
昨天还给咱们拉脸子发脾气,刚才摔门是吧
刚才摔门是吧,他还想让他们给他赔礼道歉
他还想让他们给他赔礼道歉,是不是
是不是,我就不明白了
我就不明白了,他小时候跟咱们挺好的
他小时候跟咱们挺好的,现在怎么变得这么混
现在怎么变得这么混,难道我们做错了吗
咱们说不定从一开始就错,我们哪错了
没有权利说他,我承认
我承认,但是我就是不明白他为什么不理解
但是我就是不明白他为什么不理解,我不是个官迷
我不是个官迷,年轻的时候我就是想先把业立起来
年轻的时候我就是想先把业立起来,踏踏实实的为老百姓做点事
踏踏实实的为老百姓做点事,可是到了这个岁数回过头来想一想
可是到了这个岁数回过头来想一想,业是立起来了
业是立起来了,可是自己儿子差点都不认我了
可是自己儿子差点都不认我了,有时候我就想我努力了大半辈子
有时候我就想我努力了大半辈子,到底是为什么
到底是为什么,如果可以重新选的话
如果可以重新选的话,我现在肯定选个事业单位熬到退休
我现在肯定选个事业单位熬到退休,我就在他身边
我就在他身边,我哪也不去
